code,name,industry,area,pe,outstanding,totals,totalAssets,liquidAssets,fixedAssets,reserved,reservedPerShare,esp,bvps,pb,timeToMarket
603822,嘉澳环保,环境保护,浙江,281.79,1835.0,7335.0,77802.81,37658.07,17619.03,7729.66,1.05,0.067,7.51,10.03,20160428
600456,宝钛股份,小金属,陕西,0.0,43026.57,43026.57,713457.06,410699.5,271406.06,237071.52,5.51,-0.116,7.81,2.82,20020412
600746,江苏索普,化工原料,江苏,643.5,30466.08,30642.14,55917.55,14959.3,30121.49,6207.23,0.2,0.004,1.37,7.65,19960918
603737,三棵树,染料涂料,福建,0.0,2500.0,10000.0,98233.43,41335.64,30891.9,1126.58,0.11,-0.138,7.12,16.24,20160603
002798,帝王洁具,家居用品,四川,0.0,2160.0,8637.74,44891.87,28450.01,12541.0,7755.87,0.9,-0.024,5.95,15.64,20160525
002699,美盛文化,服饰,浙江,284.78,35947.76,44600.0,143604.77,75109.63,29525.09,38478.37,0.86,0.031,2.63,13.41,20120911
603101,汇嘉时代,百货,新疆,92.96,6000.0,24000.0,189549.22,25468.17,84746.75,1788.09,0.07,0.088,3.64,9.03,20160506
002408,齐翔腾达,化工原料,山东,64.75,163929.7,177520.92,799175.88,235672.77,247994.02,314255.19,1.77,0.022,3.15,1.85,20100518
300510,金冠电气,电气设备,吉林,300.34,2180.0,8692.09,46730.05,35287.03,10796.46,5817.27,0.67,0.068,4.73,17.31,20160506
002575,群兴玩具,文教休闲,广东,609.59,58872.0,58872.0,96111.53,31375.4,40023.21,15371.74,0.26,0.005,1.52,7.78,20110422
002013,中航机电,航空,湖北,0.0,57158.87,160383.7,1988931.0,1349509.75,283192.5,354853.72,2.21,-0.019,4.4,3.67,20040705
600006,东风汽车,汽车整车,湖北,37.05,200000.0,200000.0,1998276.25,1292770.5,308523.06,61461.46,0.31,0.061,3.26,2.76,19990727
300318,博晖创新,医疗保健,北京,901.24,45753.1,82148.18,205336.75,48128.32,33615.89,68783.17,0.84,0.003,1.69,5.98,20120523
600749,西藏旅游,旅游景点,西藏,0.0,18913.78,18913.78,174334.31,52516.73,57551.06,43987.94,2.33,-0.153,3.2,6.35,19961015
002053,云南盐化,化工原料,云南,50.12,18585.1,27916.47,414784.34,86093.25,152248.77,134506.52,4.82,0.145,6.94,4.19,20060627
000419,通程控股,百货,湖南,30.79,54329.0,54358.26,362060.28,174332.77,104684.46,41739.53,0.77,0.062,3.45,2.21,19960816
603800,道森股份,专用机械,江苏,0.0,5200.0,20800.0,120174.38,57887.78,24616.45,50241.01,2.42,-0.096,4.67,6.98,20151210
002616,长青集团,环境保护,广东,61.38,22279.63,37912.42,312711.28,128602.9,111694.92,119634.26,3.16,0.1,4.95,4.37,20110920
000070,特发信息,通信设备,深圳,63.42,27091.84,31349.74,438611.66,303310.22,52136.51,95829.52,3.06,0.111,5.07,5.58,20000511
002509,天广消防,专用机械,福建,64.14,63244.62,155780.8,509123.91,261492.16,54825.32,286522.09,1.84,0.041,2.67,3.98,20101123
002457,青龙管业,塑料,宁夏,0.0,26321.41,33499.19,250689.95,134458.27,35310.56,82085.86,2.45,-0.004,5.3,2.23,20100803
603779,威龙股份,红黄药酒,山东,199.63,5020.0,20020.0,132175.0,79675.24,28153.61,0.0,0.0,0.056,3.61,12.4,20160516
600185,格力地产,区域地产,广东,17.35,161751.77,161751.77,2094026.0,1989127.25,20186.47,-37967.51,-0.23,0.096,2.51,2.65,19990611
002131,利欧股份,互联网,浙江,51.42,63054.66,150942.77,842971.63,345830.78,41659.43,330478.78,2.19,0.089,3.88,4.7,20070427
002425,凯撒股份,服饰,广东,250.31,39387.64,50859.03,265842.19,69735.61,2723.88,120743.75,2.37,0.023,4.59,5.08,20100608
300354,东华测试,电器仪表,江苏,0.0,6624.04,13837.01,36717.8,25703.5,6826.91,10644.82,0.77,-0.014,2.45,12.48,20120920
600277,亿利洁能,新型电力,内蒙,121.1,208958.95,208958.95,2105539.75,630979.88,623594.81,592531.38,2.84,0.013,4.44,1.41,20000725
600156,华升股份,纺织,湖南,0.0,40211.07,40211.07,116954.65,75020.05,14745.75,14295.8,0.36,-0.03,1.71,6.19,19980527
603528,多伦科技,软件服务,江苏,59.94,5168.0,20668.0,137687.36,118158.77,12663.62,397.0,0.02,0.442,4.69,22.57,20160503
002670,华声股份,电气设备,广东,951.5,12883.25,93612.77,302587.06,267762.13,29760.75,42908.96,0.46,0.008,3.9,7.49,20120416
300236,上海新阳,染料涂料,上海,159.12,16165.74,19474.11,147693.27,80981.71,17929.17,80098.34,4.11,0.083,6.23,8.48,20110629
600160,巨化股份,化工原料,浙江,0.0,181091.59,181091.59,925374.81,309737.22,453886.44,246911.38,1.36,-0.019,3.99,2.79,19980626
002018,华信国际,农药化肥,安徽,116.18,227782.75,227782.75,598710.69,454155.31,20555.59,117346.07,0.52,0.021,1.29,7.7,20040713
600141,兴发集团,化工原料,湖北,108.95,46574.39,52998.19,2266452.5,532426.81,1147104.63,286517.97,5.41,0.028,9.21,1.35,19990616
600782,新钢股份,钢加工,江西,0.0,139344.81,139344.81,2880695.25,1557413.88,1132434.5,567975.0,4.08,-0.066,5.75,1.02,19961225
002078,太阳纸业,造纸,山东,23.96,251435.81,253663.53,2077190.0,789760.38,1013239.81,120466.21,0.47,0.056,2.81,1.91,20061116
603608,天创时尚,服饰,广东,159.93,7000.0,28000.0,191746.11,153138.56,24194.1,84246.36,3.01,0.05,5.34,4.94,20160218
000892,星美联合,通信设备,重庆,7658.51,30693.71,41387.69,726.35,619.46,0.37,8873.73,0.21,0.001,0.01,1425.09,19990115
600458,时代新材,塑料,湖南,47.06,66142.21,80279.81,1301940.0,821436.88,255215.2,308872.34,3.85,0.085,5.94,2.69,20021219
600313,农发种业,种植业,北京,445.42,91821.81,108219.86,394901.06,230459.05,72879.61,112251.22,1.04,0.003,1.61,3.36,20010119
600117,西宁特钢,特种钢,青海,0.0,74121.92,74121.92,2492112.5,573700.31,987285.69,39989.48,0.54,-0.344,1.1,4.92,19971015
002369,卓翼科技,通信设备,深圳,309.02,41746.12,48400.3,300755.75,160308.47,100037.5,66987.15,1.38,0.009,2.81,4.12,20100316
600559,老白干酒,白酒,河北,89.43,35000.0,43806.01,256929.3,183610.56,58073.98,94789.11,2.16,0.07,3.59,6.94,20021029
000043,中航地产,全国地产,深圳,0.0,66678.07,66696.14,2397867.0,1474312.0,13717.19,56232.3,0.84,-0.235,5.7,1.53,19940928
300194,福安药业,化学制药,重庆,63.66,15877.41,34799.69,249740.47,113279.82,70798.11,150141.2,4.31,0.088,7.68,2.91,20110322
300386,飞天诚信,软件服务,北京,439.76,15573.37,41804.39,171488.41,159102.11,1368.47,57268.05,1.37,0.02,3.61,9.78,20140626
002583,海能达,通信设备,深圳,0.0,84012.63,153769.94,448875.34,266730.0,101870.56,7198.35,0.05,-0.046,1.44,8.67,20110527
603959,百利科技,建筑施工,湖南,1220.44,5600.0,22400.0,119956.17,107711.02,4888.9,1817.73,0.08,0.009,2.76,16.13,20160517
600206,有研新材,半导体,北京,996.39,70783.31,83877.84,312404.66,261976.05,32958.87,140522.75,1.68,0.004,3.29,4.27,19990319
002738,中矿资源,建筑施工,北京,0.0,8784.29,18691.5,75312.53,47008.15,16525.99,30775.4,1.65,-0.007,2.95,7.44,20141230
600038,中直股份,航空,黑龙江,124.46,39265.0,58947.67,2171311.5,1809138.38,253014.47,423271.94,7.18,0.094,11.22,4.19,20001218
600150,中国船舶,船舶,上海,74.52,137811.77,137811.77,5160927.5,3556064.5,1159573.5,462036.56,3.35,0.084,12.84,1.95,19980520
600731,湖南海利,农药化肥,湖南,191.47,25565.31,32731.41,182032.84,82230.68,62162.21,48379.01,1.48,0.014,2.31,4.5,19960802
600593,大连圣亚,旅游景点,辽宁,0.0,9200.0,9200.0,60744.61,10822.13,22124.85,19775.53,2.15,-0.105,4.09,7.98,20020711
002185,华天科技,半导体,甘肃,45.56,90576.9,106555.64,719957.13,381991.97,262434.53,252691.91,2.37,0.073,4.43,2.98,20071120
600975,新五丰,农业综合,湖南,32.61,46872.01,65267.55,174050.61,98197.81,59769.95,60471.25,0.93,0.083,1.72,6.26,20040609
600596,新安股份,农药化肥,浙江,0.0,67918.46,67918.46,775064.38,288133.0,332102.78,74862.65,1.1,-0.07,5.78,1.34,20010906
